axe,horizon,pointe,n_ouvert,ferme,n_ferme,rouvre
IC SRO,9,creuse,0,0,12716,0
IC SRO,9,pointe,0,0,10440,0
IC SRO,10,creuse,0,0,12615,0
IC SRO,10,pointe,0,0,10414,0
IC SRO,11,creuse,0,0,12625,0
IC SRO,11,pointe,0,0,10412,0
IC SRO,12,creuse,0,0,12631,0
IC SRO,12,pointe,0,0,10406,0
IC SRO,13,creuse,0,0,12540,0
IC SRO,13,pointe,0,0,10378,0
IC SRO,14,creuse,0,0,12449,0
IC SRO,14,pointe,0,0,10350,0
IC SRO,15,creuse,0,0,12368,0
IC SRO,15,pointe,0,0,10320,0
IC SRO,16,creuse,0,0,12287,0
IC SRO,16,pointe,0,0,10290,0
IC SRO,17,creuse,0,0,12210,0
IC SRO,17,pointe,0,0,10264,0
IC SRO,18,creuse,0,0,12214,0
IC SRO,18,pointe,0,0,10244,0
IC SRO,19,creuse,0,0,12196,0
IC SRO,19,pointe,0,0,10238,0
IC SRO,20,creuse,0,0,12127,0
IC SRO,20,pointe,0,0,10196,0
IC SRO,21,creuse,0,0,12058,0
IC SRO,21,pointe,0,0,10154,0
IC SRO,22,creuse,0,0,12104,0
IC SRO,22,pointe,0,0,10140,0
IC SRO,23,creuse,0,0,12150,0
IC SRO,23,pointe,0,0,10126,0
IC SRO,24,creuse,0,0,12196,0
IC SRO,24,pointe,0,0,10112,0
IC SRO,25,creuse,0,0,12311,0
IC SRO,25,pointe,0,0,10140,0
IC SRO,26,creuse,0,0,12422,0
IC SRO,26,pointe,0,0,10164,0
IC SRO,27,creuse,0,0,12413,0
IC SRO,27,pointe,0,0,10152,0
IC SRO,28,creuse,0,0,12404,0
IC SRO,28,pointe,0,0,10140,0
IC SRO,29,creuse,0,0,12486,0
IC SRO,29,pointe,0,0,10156,0
IC SRO,30,creuse,0,0,12568,0
IC SRO,30,pointe,0,0,10172,0
INTERNATIONAL,1,creuse,220,8,4779,15
INTERNATIONAL,1,pointe,447,29,6434,36
INTERNATIONAL,2,creuse,204,9,4768,19
INTERNATIONAL,2,pointe,402,22,6417,40
INTERNATIONAL,3,creuse,159,0,4847,35
INTERNATIONAL,3,pointe,279,12,6486,102
INTERNATIONAL,4,creuse,146,9,4803,9
INTERNATIONAL,4,pointe,279,30,6312,14
INTERNATIONAL,5,creuse,139,6,4706,3
INTERNATIONAL,5,pointe,246,12,6206,10
INTERNATIONAL,6,creuse,116,0,4622,2
INTERNATIONAL,6,pointe,209,18,6226,11
INTERNATIONAL,7,creuse,78,6,4534,50
INTERNATIONAL,7,pointe,120,7,6281,97
INTERNATIONAL,8,creuse,76,4,4480,4
INTERNATIONAL,8,pointe,106,0,6217,5
INTERNATIONAL,9,creuse,69,4,4538,2
INTERNATIONAL,9,pointe,95,2,6204,0
INTERNATIONAL,10,creuse,64,7,4594,6
INTERNATIONAL,10,pointe,86,2,6189,1
INTERNATIONAL,11,creuse,62,2,4558,2
INTERNATIONAL,11,pointe,77,0,6055,4
INTERNATIONAL,12,creuse,53,2,4471,4
INTERNATIONAL,12,pointe,74,2,5946,2
INTERNATIONAL,13,creuse,44,2,4420,2
INTERNATIONAL,13,pointe,52,0,6011,3
INTERNATIONAL,14,creuse,52,0,4328,0
INTERNATIONAL,14,pointe,53,0,6020,11
INTERNATIONAL,15,creuse,40,2,4322,20
INTERNATIONAL,15,pointe,40,0,6018,19
INTERNATIONAL,16,creuse,38,4,4407,0
INTERNATIONAL,16,pointe,41,4,6041,1
INTERNATIONAL,17,creuse,32,2,4496,0
INTERNATIONAL,17,pointe,36,1,6070,0
INTERNATIONAL,18,creuse,31,4,4553,0
INTERNATIONAL,18,pointe,38,0,6040,0
INTERNATIONAL,19,creuse,29,2,4556,0
INTERNATIONAL,19,pointe,38,2,6004,0
INTERNATIONAL,20,creuse,33,4,4556,0
INTERNATIONAL,20,pointe,41,4,6096,1
INTERNATIONAL,21,creuse,39,0,4538,0
INTERNATIONAL,21,pointe,59,6,6132,0
INTERNATIONAL,22,creuse,43,0,4516,0
INTERNATIONAL,22,pointe,66,1,6110,0
INTERNATIONAL,23,creuse,39,4,4603,0
INTERNATIONAL,23,pointe,66,7,6134,0
INTERNATIONAL,24,creuse,45,8,4680,0
INTERNATIONAL,24,pointe,66,6,6158,2
INTERNATIONAL,25,creuse,40,2,4656,0
INTERNATIONAL,25,pointe,63,2,6112,0
INTERNATIONAL,26,creuse,45,2,4631,0
INTERNATIONAL,26,pointe,67,4,6069,0
INTERNATIONAL,27,creuse,47,2,4682,0
INTERNATIONAL,27,pointe,86,6,6211,0
INTERNATIONAL,28,creuse,58,0,4706,0
INTERNATIONAL,28,pointe,101,0,6324,0
INTERNATIONAL,29,creuse,57,2,4737,0
INTERNATIONAL,29,pointe,124,12,6359,0
INTERNATIONAL,30,creuse,0,0,4885,53
INTERNATIONAL,30,pointe,0,0,6568,127
NORD,1,creuse,3293,377,4145,174
NORD,1,pointe,6054,525,6594,577
NORD,2,creuse,3355,317,4119,283
NORD,2,pointe,6012,578,6637,369
NORD,3,creuse,3222,205,4306,302
NORD,3,pointe,5588,455,7142,536
NORD,4,creuse,1699,32,5904,1617
NORD,4,pointe,2759,32,10045,2969
NORD,5,creuse,1609,131,5924,140
NORD,5,pointe,2519,191,10237,368
NORD,6,creuse,1645,141,5802,101
NORD,6,pointe,2545,337,10102,233
NORD,7,creuse,1688,112,5740,122
NORD,7,pointe,2443,216,10138,328
NORD,8,creuse,1617,66,5771,157
NORD,8,pointe,2354,168,10205,256
NORD,9,creuse,1605,104,5793,100
NORD,9,pointe,2296,214,10263,206
NORD,10,creuse,1473,131,5978,172
NORD,10,pointe,2032,164,10608,352
NORD,11,creuse,1453,135,6073,121
NORD,11,pointe,2028,204,10686,220
NORD,12,creuse,725,9,6732,732
NORD,12,pointe,1060,23,11607,956
NORD,13,creuse,678,7,6699,31
NORD,13,pointe,934,50,11645,84
NORD,14,creuse,752,61,6615,25
NORD,14,pointe,982,58,11558,43
NORD,15,creuse,719,16,6620,62
NORD,15,pointe,940,14,11594,87
NORD,16,creuse,680,28,6680,59
NORD,16,pointe,895,42,11675,55
NORD,17,creuse,636,19,6778,34
NORD,17,pointe,879,58,11759,39
NORD,18,creuse,609,7,6785,33
NORD,18,pointe,884,20,11684,58
NORD,19,creuse,595,11,6676,26
NORD,19,pointe,873,47,11566,40
NORD,20,creuse,580,8,6608,13
NORD,20,pointe,837,25,11482,31
NORD,21,creuse,624,19,6551,14
NORD,21,pointe,903,57,11350,16
NORD,22,creuse,631,19,6511,30
NORD,22,pointe,909,31,11338,48
NORD,23,creuse,627,35,6531,24
NORD,23,pointe,886,35,11397,25
NORD,24,creuse,570,8,6648,42
NORD,24,pointe,819,12,11561,58
NORD,25,creuse,568,20,6742,25
NORD,25,pointe,891,25,11592,30
NORD,26,creuse,570,7,6691,17
NORD,26,pointe,859,10,11583,32
NORD,27,creuse,517,10,6667,48
NORD,27,pointe,781,24,11541,51
NORD,28,creuse,540,15,6635,22
NORD,28,pointe,791,28,11465,48
NORD,29,creuse,585,37,6563,20
NORD,29,pointe,866,48,11384,9
NORD,30,creuse,2,0,7155,576
NORD,30,pointe,0,0,12266,847
OUIGO_TC,1,creuse,0,0,885,0
OUIGO_TC,1,pointe,0,0,1209,0
OUIGO_TC,2,creuse,0,0,930,0
OUIGO_TC,2,pointe,0,0,1304,0
OUIGO_TC,3,creuse,0,0,930,0
OUIGO_TC,3,pointe,0,0,1339,0
OUIGO_TC,4,creuse,0,0,999,0
OUIGO_TC,4,pointe,0,0,1406,0
OUIGO_TC,5,creuse,0,0,986,0
OUIGO_TC,5,pointe,0,0,1380,0
OUIGO_TC,6,creuse,0,0,953,0
OUIGO_TC,6,pointe,0,0,1255,0
OUIGO_TC,7,creuse,0,0,921,0
OUIGO_TC,7,pointe,0,0,1156,0
OUIGO_TC,8,creuse,0,0,924,0
