train_no,origine_iata,destination_iata,bande,n_ouvert,ferme,n_ferme,rouvre
106485,FRAFW,FRXSH,ouverture,0,0,10,0
106485,FRAFW,FRXSH,plateau,0,0,51,0
106485,FRAFW,FRXSH,proche,0,0,35,0
106485,FRAFW,FRXSH,relance,0,0,3,0
106600,FRAFW,FRXSH,bascule,0,0,2,0
106600,FRAFW,FRXSH,derniers_jours,0,0,9,0
106600,FRAFW,FRXSH,imminent,0,0,12,0
106600,FRAFW,FRXSH,intervalle,0,0,18,0
106600,FRAFW,FRXSH,lointain,0,0,90,0
106600,FRAFW,FRXSH,moyen,0,0,42,0
106600,FRAFW,FRXSH,ouverture,0,0,9,0
106600,FRAFW,FRXSH,plateau,0,0,44,0
106600,FRAFW,FRXSH,proche,0,0,30,0
106600,FRAFW,FRXSH,relance,0,0,2,0
107241,FRXSH,FRAFW,bascule,0,0,3,0
107241,FRXSH,FRAFW,derniers_jours,0,0,9,0
107241,FRXSH,FRAFW,imminent,0,0,14,0
107241,FRXSH,FRAFW,intervalle,0,0,21,0
107241,FRXSH,FRAFW,lointain,0,0,105,0
107241,FRXSH,FRAFW,moyen,0,0,49,0
107241,FRXSH,FRAFW,ouverture,0,0,10,0
107241,FRXSH,FRAFW,plateau,0,0,51,0
107241,FRXSH,FRAFW,proche,0,0,35,0
107241,FRXSH,FRAFW,relance,0,0,3,0
107260,FRXSH,FRAFW,bascule,0,0,1,0
107260,FRXSH,FRAFW,derniers_jours,0,0,1,0
107260,FRXSH,FRAFW,imminent,0,0,2,0
107260,FRXSH,FRAFW,intervalle,0,0,3,0
107260,FRXSH,FRAFW,lointain,0,0,15,0
107260,FRXSH,FRAFW,moyen,0,0,7,0
107260,FRXSH,FRAFW,ouverture,0,0,1,0
107260,FRXSH,FRAFW,plateau,0,0,6,0
107260,FRXSH,FRAFW,proche,0,0,5,0
107260,FRXSH,FRAFW,relance,0,0,1,0
107261,FRXSH,FRAFW,bascule,0,0,2,0
107261,FRXSH,FRAFW,derniers_jours,0,0,1,0
107261,FRXSH,FRAFW,imminent,0,0,4,0
107261,FRXSH,FRAFW,intervalle,0,0,6,0
107261,FRXSH,FRAFW,lointain,0,0,30,0
107261,FRXSH,FRAFW,moyen,0,0,14,0
107261,FRXSH,FRAFW,ouverture,0,0,2,0
107261,FRXSH,FRAFW,plateau,0,0,13,0
107261,FRXSH,FRAFW,proche,0,0,10,0
107261,FRXSH,FRAFW,relance,0,0,2,0
107284,FRXSH,FRAFW,bascule,0,0,3,0
107284,FRXSH,FRAFW,derniers_jours,0,0,9,0
107284,FRXSH,FRAFW,imminent,0,0,14,0
107284,FRXSH,FRAFW,intervalle,0,0,21,0
107284,FRXSH,FRAFW,lointain,0,0,105,0
107284,FRXSH,FRAFW,moyen,0,0,49,0
107284,FRXSH,FRAFW,ouverture,0,0,10,0
107284,FRXSH,FRAFW,plateau,0,0,51,0
107284,FRXSH,FRAFW,proche,0,0,35,0
107284,FRXSH,FRAFW,relance,0,0,3,0
107300,FRXSH,FRAFW,bascule,0,0,3,0
107300,FRXSH,FRAFW,derniers_jours,0,0,9,0
107300,FRXSH,FRAFW,imminent,0,0,14,0
107300,FRXSH,FRAFW,intervalle,0,0,21,0
107300,FRXSH,FRAFW,lointain,0,0,105,0
107300,FRXSH,FRAFW,moyen,0,0,49,0
107300,FRXSH,FRAFW,ouverture,0,0,10,0
107300,FRXSH,FRAFW,plateau,0,0,51,0
107300,FRXSH,FRAFW,proche,0,0,35,0
107300,FRXSH,FRAFW,relance,0,0,3,0
107306,FRXSH,FRAFW,bascule,0,0,3,0
107306,FRXSH,FRAFW,derniers_jours,0,0,9,0
107306,FRXSH,FRAFW,imminent,0,0,14,0
107306,FRXSH,FRAFW,intervalle,0,0,21,0
107306,FRXSH,FRAFW,lointain,0,0,105,0
107306,FRXSH,FRAFW,moyen,0,0,49,0
107306,FRXSH,FRAFW,ouverture,0,0,10,0
107306,FRXSH,FRAFW,plateau,0,0,51,0
107306,FRXSH,FRAFW,proche,0,0,35,0
107306,FRXSH,FRAFW,relance,0,0,3,0
107359,FRXSH,FRAFW,bascule,0,0,3,0
107359,FRXSH,FRAFW,derniers_jours,0,0,9,0
107359,FRXSH,FRAFW,imminent,0,0,14,0
107359,FRXSH,FRAFW,intervalle,0,0,21,0
107359,FRXSH,FRAFW,lointain,0,0,105,0
107359,FRXSH,FRAFW,moyen,0,0,49,0
107359,FRXSH,FRAFW,ouverture,0,0,10,0
107359,FRXSH,FRAFW,plateau,0,0,51,0
107359,FRXSH,FRAFW,proche,0,0,35,0
107359,FRXSH,FRAFW,relance,0,0,3,0
107455,FRXSH,FRAFW,bascule,0,0,3,0
107455,FRXSH,FRAFW,derniers_jours,0,0,3,0
107455,FRXSH,FRAFW,imminent,0,0,6,0
107455,FRXSH,FRAFW,intervalle,0,0,21,0
107455,FRXSH,FRAFW,lointain,0,0,105,0
107455,FRXSH,FRAFW,moyen,0,0,43,0
107455,FRXSH,FRAFW,ouverture,0,0,10,0
107455,FRXSH,FRAFW,plateau,0,0,51,0
107455,FRXSH,FRAFW,proche,0,0,15,0
107455,FRXSH,FRAFW,relance,0,0,3,0
107486,FRXSH,FRAFW,bascule,0,0,1,0
107486,FRXSH,FRAFW,derniers_jours,0,0,1,0
107486,FRXSH,FRAFW,imminent,0,0,2,0
107486,FRXSH,FRAFW,intervalle,0,0,3,0
107486,FRXSH,FRAFW,lointain,0,0,15,0
107486,FRXSH,FRAFW,moyen,0,0,7,0
107486,FRXSH,FRAFW,ouverture,0,0,1,0
107486,FRXSH,FRAFW,plateau,0,0,6,0
107486,FRXSH,FRAFW,proche,0,0,5,0
107486,FRXSH,FRAFW,relance,0,0,1,0
107494,FRXSH,FRAFW,bascule,0,0,3,0
107494,FRXSH,FRAFW,derniers_jours,0,0,9,0
107494,FRXSH,FRAFW,imminent,0,0,14,0
107494,FRXSH,FRAFW,intervalle,0,0,5,0
107494,FRXSH,FRAFW,lointain,0,0,15,0
107494,FRXSH,FRAFW,moyen,0,0,23,0
107494,FRXSH,FRAFW,ouverture,0,0,1,0
107494,FRXSH,FRAFW,plateau,0,0,6,0
107494,FRXSH,FRAFW,proche,0,0,35,0
107494,FRXSH,FRAFW,relance,0,0,1,0
108203,FRAFW,FRXSH,bascule,0,0,3,0
108203,FRAFW,FRXSH,derniers_jours,0,0,9,0
108203,FRAFW,FRXSH,imminent,0,0,14,0
108203,FRAFW,FRXSH,intervalle,0,0,21,0
108203,FRAFW,FRXSH,lointain,0,0,105,0
108203,FRAFW,FRXSH,moyen,0,0,49,0
108203,FRAFW,FRXSH,ouverture,0,0,10,0
108203,FRAFW,FRXSH,plateau,0,0,51,0
108203,FRAFW,FRXSH,proche,0,0,35,0
108203,FRAFW,FRXSH,relance,0,0,3,0
108241,FRAFW,FRXSH,bascule,0,0,2,0
108241,FRAFW,FRXSH,derniers_jours,0,0,1,0
108241,FRAFW,FRXSH,imminent,0,0,4,0
108241,FRAFW,FRXSH,intervalle,0,0,6,0
108241,FRAFW,FRXSH,lointain,0,0,30,0
108241,FRAFW,FRXSH,moyen,0,0,14,0
108241,FRAFW,FRXSH,ouverture,0,0,2,0
108241,FRAFW,FRXSH,plateau,0,0,13,0
108241,FRAFW,FRXSH,proche,0,0,10,0
108241,FRAFW,FRXSH,relance,0,0,2,0
108260,FRAFW,FRXSH,bascule,0,0,2,0
108260,FRAFW,FRXSH,derniers_jours,0,0,1,0
108260,FRAFW,FRXSH,imminent,0,0,4,0
108260,FRAFW,FRXSH,intervalle,0,0,6,0
108260,FRAFW,FRXSH,lointain,0,0,30,0
108260,FRAFW,FRXSH,moyen,0,0,14,0
108260,FRAFW,FRXSH,ouverture,0,0,2,0
108260,FRAFW,FRXSH,plateau,0,0,13,0
108260,FRAFW,FRXSH,proche,0,0,10,0
108260,FRAFW,FRXSH,relance,0,0,2,0
108284,FRAFW,FRXSH,bascule,0,0,3,0
108284,FRAFW,FRXSH,derniers_jours,0,0,9,0
108284,FRAFW,FRXSH,imminent,0,0,14,0
108284,FRAFW,FRXSH,intervalle,0,0,21,0
108284,FRAFW,FRXSH,lointain,0,0,105,0
108284,FRAFW,FRXSH,moyen,0,0,49,0
108284,FRAFW,FRXSH,ouverture,0,0,10,0
108284,FRAFW,FRXSH,plateau,0,0,51,0
108284,FRAFW,FRXSH,proche,0,0,35,0
108284,FRAFW,FRXSH,relance,0,0,3,0
108300,FRAFW,FRXSH,bascule,0,0,1,0
108300,FRAFW,FRXSH,imminent,0,0,2,0
108300,FRAFW,FRXSH,intervalle,0,0,3,0
108300,FRAFW,FRXSH,lointain,0,0,15,0
108300,FRAFW,FRXSH,moyen,0,0,7,0
108300,FRAFW,FRXSH,ouverture,0,0,1,0
